Term Number i,x,Fx,Term (i)
0,0,0.39894,0.007314
1,0.055,0.39834,0.029212
2,0.11,0.39654,0.01454
3,0.165,0.39355,0.02886
4,0.22,0.3894,0.014278
5,0.275,0.38414,0.02817
6,0.33,0.3778,0.013853
7,0.385,0.37044,0.027166
8,0.44,0.36213,0.013278
9,0.495,0.35294,0.025882
10,0.55,0.34294,0.012575
11,0.605,0.33222,0.024363
12,0.66,0.32086,0.011765
13,0.715,0.30896,0.022657
14,0.77,0.29659,0.010875
15,0.825,0.28387,0.020817
16,0.88,0.27086,0.009932
17,0.935,0.25768,0.018896
18,0.99,0.24439,0.008961
19,1.045,0.23109,0.016947
20,1.1,0.21785,0.003994
